movie_title,actor_id,actor_name
Avatar,8691,Zoe Saldana
Avatar,10205,Sigourney Weaver
Avatar,1771,Giovanni Ribisi
Pirates of the Caribbean: At World's End,85,Johnny Depp
Pirates of the Caribbean: At World's End,116,Keira Knightley
Pirates of the Caribbean: At World's End,1640,Stellan Skarsgård
Pirates of the Caribbean: At World's End,2440,Bill Nighy
Pirates of the Caribbean: At World's End,118,Geoffrey Rush
Pirates of the Caribbean: At World's End,2449,Kevin McNally
Pirates of the Caribbean: At World's End,378,Jonathan Pryce
Spectre,8784,Daniel Craig
Spectre,5469,Ralph Fiennes
Q,3894,Christian Bale
Q,3895,Michael Caine
Q,64,Gary Oldman
Q,1813,Anne Hathaway
Q,24045,Joseph Gordon-Levitt
Q,192,Morgan Freeman
Q,2037,Cillian Murphy
The Dark Knight Rises,3896,Liam Neeson
John Carter,5293,Willem Dafoe
John Carter,19159,Thomas Haden Church
John Carter,2983,Mark Strong
John Carter,8785,Ciarán Hinds
Spider-Man 3,205,Kirsten Dunst
Spider-Man 3,17051,James Franco
Spider-Man 3,19159,Thomas Haden Church
Spider-Man 3,2505,James Cromwell
Spider-Man 3,18999,J.K. Simmons
Spider-Man 3,19152,Dylan Baker
Spider-Man 3,9281,Elizabeth Banks
Spider-Man 3,5293,Willem Dafoe
Tangled,2372,Ron Perlman
Tangled,22132,M.C. Gainey
Tangled,4175,Jeffrey Tambor
Avengers: Age of Ultron,3223,Robert Downey Jr.
Avengers: Age of Ultron,74568,Chris Hemsworth
Avengers: Age of Ultron,103,Mark Ruffalo
Avengers: Age of Ultron,16828,Chris Evans
Avengers: Age of Ultron,1245,Scarlett Johansson
Avengers: Age of Ultron,17604,Jeremy Renner
Avengers: Age of Ultron,2231,Samuel L. Jackson
Avengers: Age of Ultron,1896,Don Cheadle
Avengers: Age of Ultron,6162,Paul Bettany
Avengers: Age of Ultron,53650,Anthony Mackie
Avengers: Age of Ultron,17605,Idris Elba
Avengers: Age of Ultron,1640,Stellan Skarsgård
Avengers: Age of Ultron,1333,Andy Serkis
Harry Potter and the Half-Blood Prince,5658,Michael Gambon
Harry Potter and the Half-Blood Prince,388,Jim Broadbent
Harry Potter and the Half-Blood Prince,1283,Helena Bonham Carter
Harry Potter and the Half-Blood Prince,1923,Robbie Coltrane
Harry Potter and the Half-Blood Prince,10978,Maggie Smith
Harry Potter and the Half-Blood Prince,4566,Alan Rickman
Harry Potter and the Half-Blood Prince,9191,Timothy Spall
Harry Potter and the Half-Blood Prince,11207,David Thewlis
Batman v Superman: Dawn of Justice,880,Ben Affleck
Batman v Superman: Dawn of Justice,9273,Amy Adams
Batman v Superman: Dawn of Justice,44735,Jesse Eisenberg
Batman v Superman: Dawn of Justice,2975,Laurence Fishburne
Batman v Superman: Dawn of Justice,20089,Jena Malone
Superman Returns,1979,Kevin Spacey
Superman Returns,7517,Kate Bosworth
Superman Returns,11006,James Marsden
Superman Returns,7489,Parker Posey
Superman Returns,8924,Frank Langella
Quantum of Solace,8784,Daniel Craig
Quantum of Solace,5309,Judi Dench
Quantum of Solace,2954,Jeffrey Wright
Pirates of the Caribbean: Dead Man's Chest,85,Johnny Depp
Pirates of the Caribbean: Dead Man's Chest,116,Keira Knightley
Pirates of the Caribbean: Dead Man's Chest,1640,Stellan Skarsgård
Pirates of the Caribbean: Dead Man's Chest,2440,Bill Nighy
Pirates of the Caribbean: Dead Man's Chest,2449,Kevin McNally
Pirates of the Caribbean: Dead Man's Chest,378,Jonathan Pryce
Pirates of the Caribbean: Dead Man's Chest,118,Geoffrey Rush
The Lone Ranger,85,Johnny Depp
The Lone Ranger,886,William Fichtner
The Lone Ranger,1283,Helena Bonham Carter
The Lone Ranger,207,Tom Wilkinson
The Lone Ranger,12834,Barry Pepper
Man of Steel,9273,Amy Adams
Man of Steel,335,Michael Shannon
Man of Steel,1269,Kevin Costner
Man of Steel,934,Russell Crowe
Man of Steel,2975,Laurence Fishburne
Man of Steel,31028,Richard Schiff
Man of Steel,17832,Carla Gugino
The Chronicles of Narnia: Prince Caspian,3896,Liam Neeson
The Chronicles of Narnia: Prince Caspian,3063,Tilda Swinton
The Avengers,3223,Robert Downey Jr.
The Avengers,16828,Chris Evans
The Avengers,103,Mark Ruffalo
The Avengers,74568,Chris Hemsworth
The Avengers,1245,Scarlett Johansson
The Avengers,17604,Jeremy Renner
The Avengers,9048,Clark Gregg
The Avengers,1640,Stellan Skarsgård
The Avengers,2231,Samuel L. Jackson
The Avengers,12052,Gwyneth Paltrow
The Avengers,6162,Paul Bettany
The Avengers,5048,Harry Dean Stanton
Pirates of the Caribbean: On Stranger Tides,85,Johnny Depp
Pirates of the Caribbean: On Stranger Tides,955,Penélope Cruz
Pirates of the Caribbean: On Stranger Tides,2449,Kevin McNally
Pirates of the Caribbean: On Stranger Tides,118,Geoffrey Rush
Pirates of the Caribbean: On Stranger Tides,5309,Judi Dench
Men in Black 3,2888,Will Smith
Men in Black 3,2176,Tommy Lee Jones
Men in Black 3,16851,Josh Brolin
Men in Black 3,7056,Emma Thompson
Men in Black 3,19278,Bill Hader
Men in Black 3,21200,Will Arnett
The Hobbit: The Battle of the Five Armies,1327,Ian McKellen
The Hobbit: The Battle of the Five Armies,112,Cate Blanchett
The Hobbit: The Battle of the Five Armies,1331,Hugo Weaving
The Hobbit: The Battle of the Five Armies,113,Christopher Lee
The Amazing Spider-Man,8349,Martin Sheen
Robin Hood,934,Russell Crowe
Robin Hood,112,Cate Blanchett
Robin Hood,2201,Max von Sydow
Robin Hood,227,William Hurt
Robin Hood,2983,Mark Strong
Robin Hood,25072,Oscar Isaac
Robin Hood,6413,Danny Huston
The Hobbit: The Desolation of Smaug,1327,Ian McKellen
The Golden Compass,2227,Nicole Kidman
The Golden Compass,8784,Daniel Craig
The Golden Compass,16431,Sam Elliott
The Golden Compass,1327,Ian McKellen
The Golden Compass,8534,Kathy Bates
The Golden Compass,113,Christopher Lee
King Kong,3489,Naomi Watts
King Kong,70851,Jack Black
King Kong,1333,Andy Serkis
Titanic,204,Kate Winslet
Titanic,6193,Leonardo DiCaprio
Titanic,8534,Kathy Bates
Titanic,2053,Bill Paxton
Captain America: Civil War,16828,Chris Evans
Captain America: Civil War,3223,Robert Downey Jr.
Captain America: Civil War,1245,Scarlett Johansson
Captain America: Civil War,53650,Anthony Mackie
Captain America: Civil War,1896,Don Cheadle
Captain America: Civil War,17604,Jeremy Renner
Captain America: Civil War,6162,Paul Bettany
Captain America: Civil War,22226,Paul Rudd
Captain America: Civil War,227,William Hurt
Captain America: Civil War,3141,Marisa Tomei
Battleship,3896,Liam Neeson
Jurassic World,7132,Vincent D'Onofrio
Jurassic World,20750,Judy Greer
Skyfall,8784,Daniel Craig
Skyfall,5309,Judi Dench
Skyfall,5469,Ralph Fiennes
Spider-Man 2,205,Kirsten Dunst
Spider-Man 2,17051,James Franco
Spider-Man 2,658,Alfred Molina
Spider-Man 2,18999,J.K. Simmons
Spider-Man 2,19152,Dylan Baker
Spider-Man 2,5293,Willem Dafoe
Spider-Man 2,11357,Bruce Campbell
Spider-Man 2,9281,Elizabeth Banks
Iron Man 3,3223,Robert Downey Jr.
Iron Man 3,12052,Gwyneth Paltrow
Iron Man 3,1896,Don Cheadle
Iron Man 3,529,Guy Pearce
Iron Man 3,15277,Jon Favreau
Iron Man 3,2282,Ben Kingsley
Iron Man 3,6162,Paul Bettany
Iron Man 3,6573,William Sadler
Alice in Wonderland,85,Johnny Depp
Alice in Wonderland,1813,Anne Hathaway
Alice in Wonderland,1283,Helena Bonham Carter
Alice in Wonderland,1064,Crispin Glover
Alice in Wonderland,20982,Marton Csokas
Alice in Wonderland,3968,Michael Sheen
Alice in Wonderland,4566,Alan Rickman
Alice in Wonderland,113,Christopher Lee
Alice in Wonderland,9191,Timothy Spall
Alice in Wonderland,11356,Imelda Staunton
X-Men: The Last Stand,6968,Hugh Jackman
X-Men: The Last Stand,4587,Halle Berry
X-Men: The Last Stand,1327,Ian McKellen
X-Men: The Last Stand,2387,Patrick Stewart
X-Men: The Last Stand,10696,Famke Janssen
X-Men: The Last Stand,10690,Anna Paquin
X-Men: The Last Stand,11006,James Marsden
X-Men: The Last Stand,11107,Ben Foster
Monsters University,1230,John Goodman
Monsters University,884,Steve Buscemi
Monsters University,15735,Helen Mirren
Monsters University,658,Alfred Molina
Monsters University,17697,John Krasinski
Monsters University,19278,Bill Hader
Transformers: Revenge of the Fallen,10959,Shia LaBeouf
Transformers: Revenge of the Fallen,1241,John Turturro
Transformers: Revenge of the Fallen,1331,Hugo Weaving
Transformers: Age of Extinction,13240,Mark Wahlberg
Transformers: Age of Extinction,2283,Stanley Tucci
Transformers: Age of Extinction,539,Thomas Lennon
Transformers: Age of Extinction,15831,Frank Welker
Transformers: Age of Extinction,1230,John Goodman
Oz: The Great and Powerful,17051,James Franco
Oz: The Great and Powerful,3293,Rachel Weisz
Oz: The Great and Powerful,8854,Bill Cobbs
Oz: The Great and Powerful,11357,Bruce Campbell
The Amazing Spider-Man 2,134,Jamie Foxx
The Amazing Spider-Man 2,10132,Colm Feore
The Amazing Spider-Man 2,13242,Paul Giamatti
The Amazing Spider-Man 2,20982,Marton Csokas
The Amazing Spider-Man 2,2955,Chris Cooper
TRON: Legacy,1229,Jeff Bridges
TRON: Legacy,59315,Olivia Wilde
TRON: Legacy,3968,Michael Sheen
TRON: Legacy,2037,Cillian Murphy
Cars 2,887,Owen Wilson
